Week_End_Date,Close,Weekly_Return
2024-10-18,2238.28,0.024534485599721823
2024-10-25,2135.7,-0.0458298336222458
2024-11-01,2184.02,0.02262490050100685
2024-11-08,2141.66,-0.019395426781806058
2024-11-15,2083.85,-0.02699308013410151
2024-11-22,2065.46,-0.008825011397173399
2024-11-29,2096.53,0.015042653936653494
2024-12-06,2159.9,0.030226135566865153
2024-12-13,2169.04,0.0042316773924717666
2024-12-20,2105.44,-0.029321727584553536
2024-12-27,2094.72,-0.005091572307926229
2025-01-03,2109.13,0.006879201038802574
2025-01-10,1999.21,-0.05211627543110198
2025-01-17,2033.56,0.01718178680578819
2025-01-24,1927.51,-0.05214992427073706
2025-01-31,1922.88,-0.002402062764914281
2025-02-07,1938.31,0.008024421700782103
2025-02-14,1820.5,-0.060779751432949336
2025-02-21,1847.52,0.014842076352650446
2025-02-28,1768.7,-0.04266259634537106
2025-03-07,1788.69,0.011302086278057288
2025-03-14,1752.0,-0.02051221843919293
2025-03-21,1921.56,0.09678082191780812
2025-03-28,1914.2,-0.003830221278544488
2025-04-04,1884.56,-0.015484275415317161
2025-04-11,1880.6,-0.0021012862418814393
2025-04-18,1986.52,0.05632245028182492
2025-04-25,2041.56,0.027706743450858662
2025-05-02,2049.45,0.0038646917063420716
2025-05-09,1977.09,-0.03530703359437892
2025-05-16,2148.78,0.08683974932855887
2025-05-23,2201.49,0.024530198531259373
2025-05-30,2228.93,0.01246428555205803
2025-06-06,2302.47,0.032993409393744955
2025-06-13,2256.16,-0.0201131827993416
2025-06-20,2297.84,0.01847386710162402
2025-06-27,2385.77,0.03826637189708593
2025-07-04,2359.16,-0.011153631741534276
2025-07-11,2333.28,-0.010970006273419153
2025-07-18,2345.2,0.005108688198587341
2025-07-25,2294.42,-0.021652737506395958
2025-08-01,2238.38,-0.024424473287366744
2025-08-08,2266.88,0.012732422555598255
2025-08-15,2302.64,0.015774985883681536
2025-08-22,2335.73,0.014370461730882855
2025-08-29,2225.58,-0.04715870413104262
2025-09-05,2248.56,0.010325398323133728
2025-09-12,2289.07,0.018015974668232237
2025-09-19,2310.9,0.009536624043825714
2025-09-26,2245.13,-0.028460772859059236
2025-10-03,2279.84,0.015460129257548472
2025-10-10,2304.18,0.01067618780265267
2025-10-17,2362.94,0.025501479919103565
2025-10-24,2354.87,-0.0034152369505785485
2025-10-31,2338.76,-0.00684114197386676
2025-11-07,2374.38,0.015230292975764836
2025-11-14,2398.99,0.010364811024351495
2025-11-21,2389.31,-0.0040350314090512596
2025-11-28,2396.69,0.0030887578422222894
2025-12-05,2379.46,-0.00718908160838494
2025-12-12,2391.32,0.00498432417439254
2025-12-19,2384.96,-0.0026596189552214877
2025-12-26,2391.82,0.002876358513350441
2026-01-02,2415.98,0.010101094563972124
2026-01-09,2368.13,-0.019805627530029235
2026-01-16,2411.73,0.018411151414829297
2026-01-23,2290.16,-0.05040779855124755
2026-01-30,2348.82,0.025613930904391013
2026-02-06,2372.3,0.009996508885312672
2026-02-13,2401.61,0.012355098427686118
2026-02-20,2418.44,0.0070077989348811265
2026-02-27,2386.12,-0.01336398670217176
