date,conditional_volatility
2026-01-27,0.875851433746489
2026-01-28,1.0416198238330945
2026-01-29,1.0323855985977644
2026-01-30,1.737424402694149
2026-02-01,2.476419308627614
2026-02-02,1.7370815626198115
2026-02-03,1.3346250838151592
2026-02-04,0.16285112970528673
2026-02-05,0.30425223551232955
2026-02-06,0.20334029662912828
2026-02-09,0.396855068231354
2026-02-10,0.14253489290163243
2026-02-11,0.11403881086987447
2026-02-12,0.7765333824370145
2026-02-13,0.9582897053219901
2026-02-16,0.5947673030090088
2026-02-17,0.26101638587956927
2026-02-18,0.6687925448280104
2026-02-19,0.9844592646975828
2026-02-20,0.561586384957527
2026-02-23,0.6179442562626752
2026-02-24,0.5724276857898692
2026-02-25,0.24473668187128408
