period,original,log_original
2016Q1,1.9560259999999998,0.670914863958
2016Q2,7.510830333333334,2.016346023357
2016Q3,4.487828666666666,1.501368991615
2016Q4,3.8626090000000004,1.351342861890
2017Q1,3.036516666666667,1.110711025116
2017Q2,1.905822,0.644913411574
2017Q3,3.311421333333333,1.197377503062
2017Q4,5.894557333333334,1.774029439284
2018Q1,6.561041333333333,1.881149330196
2018Q2,5.1198006666666664,1.633115506002
2018Q3,5.329303666666667,1.673220585490
2018Q4,3.7244786666666667,1.314926886780
2019Q1,1.4842566666666668,0.394914085765
2019Q2,2.9697743333333335,1.088485967885
2019Q3,-0.3844753333333332,
2019Q4,-1.375502,
2020Q1,-3.766666666666666,
2020Q2,-35.775999,
2020Q3,-5.533333333333334,
2020Q4,1.7,0.530628251062
2021Q1,6.8,1.916922612182
2021Q2,20.700000000000003,3.030133700271
2021Q3,9.633333333333333,2.265229306450
2021Q4,2.066666666666667,0.725937003383
2022Q1,2.8000000000000003,1.029619417181
2022Q2,13.0,2.564949357462
2022Q3,1.6017743333333332,0.471111973139
2022Q4,2.8666666666666667,1.053149914591
2023Q1,4.582974910333333,1.522348331005
2023Q2,4.652944634,1.537500273802
2023Q3,7.609453519666666,2.029391358476
2023Q4,6.249197944333333,1.832453126607
2024Q1,5.0925221679999995,1.627773222178
2024Q2,5.457441974999999,1.696980177228
2024Q3,4.1040400935,1.411971877192
2024Q4,3.9683542089999997,1.378351451820
2025Q1,3.8835070000000003,1.356738611374
2025Q2,1.7729767916666666,0.572659937140
2025Q3,4.071840218666667,1.404095039448
2025Q4,3.608471,1.283284136918
